Power(dBm),Frequency_liquid(GHz),Frequency_solid(GHz),Frequency_noneon(GHz)
-35.0,2.22134,2.2258,2.2266
-33.0,2.22144,2.22582,2.2266
-31.0,2.22152,2.2258,2.2266
-29.0,2.2216,2.2258,2.2266
-27.0,2.22168,2.2258,2.2266
-25.0,2.22178,2.2258,2.22658
-23.0,2.2218,2.2258,2.22658
-21.0,2.22186,2.2258,2.22658
-19.0,2.22196,2.2258,2.22658
-17.0,2.22196,2.2258,2.22658
-15.0,2.22206,2.2258,2.22658
-13.0,2.22216,2.22578,2.22656
-11.0,2.22234,2.22578,2.22656
-9.0,2.2226,2.22576,2.22654
-7.0,2.22298,2.22572,2.2265
-5.0,2.22328,2.22568,2.22646
-3.0,2.2238,2.22564,2.2264
-1.0,2.22432,2.22558,2.22634
1.0,2.22526,2.22552,2.22628
3.0,2.22528,2.22544,2.2262
5.0,2.22524,2.22534,2.22608
